index,Country,Announced,Construction,Permitted,Pre-permit,Pipeline,Status,Announced_%,Construction_%,Permitted_%,Pre-permit_%,Pipeline_%
7,China,88190.0,93777.0,50665.0,57922.0,290554.0,1,74.21401642655177,52.666546855518995,64.24147134714993,57.682042702358196,61.018643453790375
10,India,5320.0,31300.0,13210.0,7213.0,57043.0,2,4.476908576814327,17.578541823450784,16.749824069788822,7.18311822817081,11.97948222545401
11,Indonesia,600.0,18699.0,2020.0,4640.0,25959.0,3,0.5049145011444729,10.501634298936303,2.5612902816785326,4.620777565328234,5.451595797741365
36,Vietnam,0.0,7380.0,2660.0,5590.0,15630.0,4,0.0,4.144716890002134,3.3727881927053946,5.566841937539834,3.282423911502659
2,Bangladesh,6350.0,6734.0,0.0,2020.0,15104.0,5,5.343678470445671,3.7819137584382614,0.0,2.011631612492033,3.171959741480241
32,Turkey,3188.0,1520.0,3420.0,4100.0,12228.0,6,2.682779049414299,0.8536544272091117,4.336441962049793,4.083014659018483,2.567976941129528
20,Mongolia,1350.0,50.0,450.0,5980.0,7830.0,7,1.136057627575064,0.028080737737141828,0.5705844686907623,5.955226258763544,1.6443620746683187
17,Laos,4786.0,0.0,2000.0,350.0,7136.0,8,4.027534670795745,0.0,2.535930971958943,0.34855003186743144,1.4986165727756222
38,Zimbabwe,3300.0,940.0,1120.0,750.0,6110.0,9,2.777029756294601,0.5279178694582664,1.4201213442970084,0.7468929254302102,1.2831484388535668
23,Pakistan,40.0,2640.0,361.5,2720.0,5761.5,10,0.03366096674296486,1.4826629525210886,0.45836952318157903,2.708731676226896,1.2099606760155197
13,Japan,0.0,4820.0,0.0,500.0,5320.0,11,0.0,2.706983117860472,0.0,0.49792861695347357,1.11724217589214
29,South Korea,0.0,4180.0,0.0,0.0,4180.0,12,0.0,2.347549674825057,0.0,0.0,0.8778331382009671
28,South Africa,1500.0,1600.0,0.0,150.0,3250.0,13,1.2622862528611822,0.8985836075885385,0.0,0.14937858508604207,0.6825257653476419
24,Philippines,0.0,1403.0,270.0,1350.0,3023.0,14,0.0,0.7879455009041997,0.34235068121445733,1.3444072657743786,0.6348539657372065
6,Cambodia,0.0,1015.0,700.0,0.0,1715.0,15,0.0,0.5700389760639791,0.8875758401856301,0.0,0.3601635961757556
5,Brazil,0.0,0.0,940.0,726.0,1666.0,16,0.0,0.0,1.1918875568207035,0.7229923518164436,0.3498732077135912
21,Mozambique,1050.0,0.0,0.0,300.0,1350.0,17,0.8836003770028276,0.0,0.0,0.29875717017208414,0.2835107025290205
3,Bosnia and Herzegovina,0.0,0.0,0.0,1350.0,1350.0,18,0.0,0.0,0.0,1.3444072657743786,0.2835107025290205
26,Russia,558.0,0.0,0.0,635.0,1193.0,19,0.46957048606435975,0.0,0.0,0.6323693435309115,0.2505394578645344
27,Serbia,300.0,350.0,0.0,350.0,1000.0,20,0.25245725057223645,0.1965651641599928,0.0,0.34855003186743144,0.2100079277992744
1,Australia,0.0,0.0,0.0,1000.0,1000.0,21,0.0,0.0,0.0,0.9958572339069471,0.2100079277992744
4,Botswana,300.0,0.0,450.0,150.0,900.0,22,0.25245725057223645,0.0,0.5705844686907623,0.14937858508604207,0.189007135019347
9,Greece,0.0,660.0,0.0,0.0,660.0,23,0.0,0.37066573813027215,0.0,0.0,0.13860523234752112
33,Ukraine,0.0,0.0,0.0,660.0,660.0,24,0.0,0.0,0.0,0.657265774378585,0.13860523234752112
12,Iran,0.0,650.0,0.0,0.0,650.0,25,0.0,0.3650495905828438,0.0,0.0,0.13650515306952837
14,Kazakhstan,0.0,0.0,0.0,636.0,636.0,26,0.0,0.0,0.0,0.6333652007648184,0.13356504208033854
30,Tanzania,0.0,0.0,0.0,600.0,600.0,27,0.0,0.0,0.0,0.5975143403441683,0.12600475667956465
16,Kyrgyzstan,600.0,0.0,0.0,0.0,600.0,28,0.5049145011444729,0.0,0.0,0.0,0.12600475667956465
35,Uzbekistan,600.0,0.0,0.0,0.0,600.0,29,0.5049145011444729,0.0,0.0,0.0,0.12600475667956465
31,Thailand,0.0,0.0,600.0,0.0,600.0,30,0.0,0.0,0.760779291587683,0.0,0.12600475667956465
34,United States,300.0,0.0,0.0,0.0,300.0,31,0.25245725057223645,0.0,0.0,0.0,0.06300237833978233
37,Zambia,300.0,0.0,0.0,0.0,300.0,32,0.25245725057223645,0.0,0.0,0.0,0.06300237833978233
19,Malawi,0.0,0.0,0.0,300.0,300.0,33,0.0,0.0,0.0,0.29875717017208414,0.06300237833978233
8,Eswatini,0.0,0.0,0.0,300.0,300.0,34,0.0,0.0,0.0,0.29875717017208414,0.06300237833978233
0,Argentina,0.0,240.0,0.0,0.0,240.0,35,0.0,0.1347875411382808,0.0,0.0,0.050401902671825864
22,Niger,200.0,0.0,0.0,0.0,200.0,36,0.1683048337148243,0.0,0.0,0.0,0.042001585559854886
25,Poland,0.0,100.0,0.0,0.0,100.0,37,0.0,0.056161475474283656,0.0,0.0,0.021000792779927443
15,Kenya,0.0,0.0,0.0,64.0,64.0,38,0.0,0.0,0.0,0.06373486297004462,0.013440507379153564
18,Madagascar,0.0,0.0,0.0,60.0,60.0,39,0.0,0.0,0.0,0.05975143403441683,0.012600475667956466
