year,Argentina,Australia,Austria,Bangladesh,Belgium,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Dominican Republic,Finland,France,Germany,Greece,Guadeloupe,Guatemala,Honduras,Hong Kong,Hungary,India,Indonesia,Ireland,Israel,Italy,Japan,Kazakhstan,Kosovo,Kyrgyzstan,Laos,Madagascar,Malaysia,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Myanmar,Namibia,Netherlands,New Zealand,Nigeria,North Korea,North Macedonia,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Romania,Russia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Syria,Taiwan,Tajikistan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Vietnam,Zambia,Zimbabwe,World,Africa and Middle East,Australia/NZ,Canada/US,EU27,East Asia,Eurasia,Latin America,SE Asia,South Asia,non-EU Europe
2000,375.0,27788.0,1993.0,,2593.0,1773.0,132.0,1375.0,,5245.0,,18314.2,1978.0,199760.15,1039.0,210.0,8700.1,5003.0,312.0,3787.2,7755.0,49106.6,4348.0,64.0,139.0,,6610.0,1459.0,63213.7,8410.0,915.0,4350.0,8670.0,31198.8,10350.0,1480.0,805.0,,,1700.0,70.0,4700.0,1610.0,700.0,225.0,1473.0,,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,3976.0,28920.6,1978.0,7405.0,40712.1,,4437.0,1493.0,1004.0,35424.3,14266.0,12738.0,,291.0,,12766.7,,3261.0,6191.0,19746.0,,32468.5,334802.18,2584.0,545.0,,950.0,1067245.63,42803.8,28788.0,353116.38,157931.5,268201.65,54451.1,10117.0,17892.0,63213.7,68730.5
2001,375.0,28399.0,1856.0,,2460.0,1773.0,132.0,1375.0,,5245.0,,18314.2,1978.0,213083.15,1039.0,210.0,8730.1,5003.0,312.0,3787.2,7755.0,48521.6,4348.0,64.0,139.0,,6610.0,1459.0,64218.7,8410.0,915.0,4900.0,8602.0,32322.8,10350.0,1480.0,805.0,,,1700.0,70.0,4700.0,1610.0,700.0,225.0,1821.0,,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,3976.0,28920.6,1978.0,7405.0,40927.1,,4437.0,1493.0,1004.0,36140.3,15766.0,12738.0,,291.0,,12766.7,,3261.0,6191.0,19746.0,,32468.5,335845.88,2584.0,545.0,,950.0,1086789.33,44417.8,29399.0,354160.08,157038.5,284148.65,54666.1,10117.0,17892.0,64218.7,68730.5
2002,375.0,28443.0,1856.0,,2460.0,1773.0,132.0,1375.0,,5245.0,,18314.2,1978.0,223776.15,1039.0,210.0,8730.1,4741.0,312.0,3787.2,7755.0,49011.6,4348.0,64.0,139.0,,6610.0,1459.0,65258.7,8410.0,915.0,4900.0,8602.0,35872.8,10390.0,1480.0,805.0,,,2400.0,70.0,4700.0,1610.0,700.0,225.0,1821.0,,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,3976.0,29266.6,1978.0,7405.0,40927.1,,4437.0,1493.0,1004.0,36140.3,16266.0,12738.0,,291.0,,15943.7,,3261.0,6191.0,19746.0,,31468.5,336246.58,2584.0,1145.0,,950.0,1107109.03,44417.8,29443.0,354560.78,157612.5,302068.65,54706.1,10117.0,19192.0,65258.7,67730.5
2003,375.0,29328.0,1856.0,,2460.0,1773.0,132.0,1375.0,,5245.0,,18314.2,1978.0,246167.15,1039.0,210.0,8730.1,4741.0,312.0,3752.2,7755.0,48590.6,4678.0,64.0,139.0,,6610.0,1459.0,66843.7,8410.0,915.0,4900.0,8602.0,38010.8,10390.0,1480.0,805.0,,,3800.0,70.0,4700.0,1610.0,700.0,225.0,1821.0,,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,3976.0,29389.6,1978.0,7405.0,41159.1,,4437.0,1493.0,1004.0,36140.3,16266.0,12738.0,,291.0,,15943.7,,3261.0,7911.0,19746.0,,29393.5,334824.5,2584.0,1145.0,,950.0,1133960.95,44417.8,30328.0,353138.7,157609.5,326597.65,54938.1,10117.0,20592.0,66843.7,67375.5
2004,375.0,29328.0,1856.0,,2460.0,1773.0,132.0,1375.0,,5125.0,,18314.2,1978.0,275634.15,1039.0,210.0,8802.1,4671.0,312.0,3752.2,7801.0,48500.6,4678.0,64.0,139.0,,6610.0,1359.0,67326.2,8440.0,915.0,4900.0,8352.0,40324.05,10390.0,1480.0,805.0,,,3910.0,70.0,4700.0,1610.0,700.0,225.0,1821.0,60.0,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,3976.0,29389.6,1978.0,7405.0,41369.1,,4437.0,1493.0,1004.0,36140.3,17791.0,12738.0,,291.0,,16243.7,,3261.0,7911.0,19746.0,,29393.5,334839.5,2584.0,1395.0,,950.0,1168212.7,44417.8,30328.0,353153.7,157097.5,360202.9,55148.1,10117.0,21042.0,67326.2,67375.5
2005,375.0,29328.0,1856.0,,2460.0,1773.0,132.0,1375.0,,5125.0,,16122.2,1978.0,322280.15,1039.0,210.0,8802.1,4671.0,312.0,3752.2,7071.0,47990.6,4678.0,64.0,139.0,,6610.0,1359.0,70651.2,8440.0,915.0,4900.0,8702.0,40514.55,10390.0,1480.0,805.0,,,3910.0,105.0,4700.0,1610.0,700.0,225.0,1821.0,120.0,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,3976.0,29389.6,1978.0,7405.0,41789.1,,4437.0,1493.0,1004.0,36140.3,18291.0,12738.0,,291.0,,16793.7,,3261.0,8406.0,19746.0,,29393.5,334989.9,2584.0,1395.0,,950.0,1217503.6,44452.8,30328.0,351112.10000000003,156207.5,408089.4,55568.1,10117.0,21102.0,70651.2,67870.5
2006,375.0,29328.0,1526.0,250.0,2119.0,1773.0,132.0,1375.0,,5125.0,,16122.2,1978.0,403950.15,1039.0,210.0,8802.1,4671.0,312.0,3674.2,6879.0,47990.6,4678.0,64.0,139.0,,6610.0,1359.0,72939.2,10420.0,915.0,4900.0,8702.0,40609.55,10510.0,1415.0,805.0,,,4610.0,105.0,4700.0,1610.0,700.0,225.0,1821.0,120.0,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,4260.0,29389.6,1978.0,7075.0,41969.1,,4437.0,1493.0,1004.0,36140.3,18791.0,12658.0,,291.0,,17343.7,,3978.0,9486.0,19746.0,,29393.5,335292.7,2584.0,1510.0,,950.0,1306920.4,44452.8,30328.0,351414.9,154856.5,490904.4,55868.1,10117.0,24898.0,73189.2,68885.5
2007,375.0,30078.0,1526.0,250.0,2119.0,1773.0,132.0,1375.0,,5125.0,,16122.2,1978.0,475765.15,1039.0,210.0,8802.1,4671.0,312.0,3674.2,6879.0,47990.6,4678.0,64.0,139.0,,6610.0,1359.0,77893.2,10600.0,915.0,4900.0,8702.0,41009.55,10630.0,1415.0,805.0,,,6010.0,195.0,4700.0,1610.0,700.0,225.0,1821.0,120.0,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,4260.0,29322.6,1978.0,7075.0,41969.1,,4437.0,1493.0,1004.0,36140.3,20877.0,11905.0,,291.0,,16943.7,,4695.0,9563.5,19746.0,,29327.0,333992.4,2584.0,1810.0,,950.0,1387224.1,44542.8,31078.0,350114.60000000003,154036.5,564805.4,55988.1,10117.0,27495.0,78143.2,68896.5
2008,375.0,30078.0,1460.0,250.0,2119.0,1773.0,132.0,1375.0,,5125.0,,16122.2,1978.0,529342.25,1039.0,210.0,8772.1,4671.0,312.0,3674.2,6979.0,47990.6,4678.0,64.0,139.0,,6610.0,1359.0,83089.2,10966.6,915.0,4900.0,8062.0,41413.55,10630.0,1415.0,805.0,,,6010.0,195.0,4700.0,1610.0,700.0,225.0,1821.0,120.0,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,4260.0,29724.6,1978.0,6875.0,41969.1,,4437.0,1273.0,974.0,36140.3,22377.0,11837.0,,291.0,,16943.7,,4731.0,9563.5,19746.0,,29327.0,334729.5,2584.0,1810.0,,950.0,1448289.9,44542.8,31078.0,350851.7,153284.5,620286.5,55988.1,10117.0,27897.6,83339.2,68896.5
2009,375.0,30544.0,1460.0,250.0,1867.0,1773.0,132.0,1451.0,,5246.0,,16122.2,2130.0,580130.35,1039.0,210.0,8772.1,4528.0,312.0,3674.2,6979.0,48021.6,4678.0,64.0,139.0,,6610.0,1359.0,88549.7,11301.6,915.0,4900.0,8722.0,42013.55,10630.0,1415.0,805.0,,,7680.0,195.0,4700.0,1610.0,700.0,225.0,1821.0,120.0,120.0,4317.0,1000.0,284.5,2900.0,800.0,,,135.0,4260.0,29944.6,1978.0,6875.0,42389.1,,4405.0,1273.0,974.0,36140.3,24736.0,11837.0,,291.0,,16943.7,,4731.0,9968.5,19746.0,,29327.0,335774.8,2584.0,2330.0,,950.0,1513192.7999999998,44542.8,31544.0,351897.0,153921.5,674033.6,56408.1,10345.0,30422.6,88799.7,69269.5
