Region,Still operating (MW),Being built (MW),Planned (MW)
Africa and Middle East,3196.8,3190.0,10894.0
Australia/NZ,3783.0,0.0,1000.0
East Asia,1127063.98,102827.0,205057.0
Eurasia,36615.5,0.0,3029.0
Latin America,7365.3,240.0,1666.0
SE Asia,22622.0,28497.0,25566.0
South Asia,241283.2,40674.0,37234.5
non-EU Europe,41052.16,1870.0,13368.0
Argentina,375.0,240.0,0.0
Australia,3783.0,0.0,1000.0
Bangladesh,1845.0,6734.0,8370.0
Bosnia and Herzegovina,2073.0,0.0,1350.0
Brazil,3101.0,0.0,1666.0
Cambodia,705.0,1015.0,700.0
China,1061335.0,93777.0,196777.0
Colombia,1646.0,0.0,0.0
Dominican Republic,1064.0,0.0,0.0
Guadeloupe,64.0,0.0,0.0
Guatemala,1010.3,0.0,0.0
Honduras,105.0,0.0,0.0
Hong Kong,4460.0,0.0,0.0
India,232910.2,31300.0,25743.0
Japan,49164.98,4820.0,500.0
Kosovo,1290.0,0.0,0.0
Laos,1878.0,0.0,7136.0
Madagascar,120.0,0.0,60.0
Malaysia,5870.0,0.0,0.0
Mauritius,195.0,0.0,0.0
Moldova,1610.0,0.0,0.0
Mongolia,960.0,50.0,7780.0
Myanmar,190.0,0.0,0.0
Nigeria,284.5,0.0,0.0
North Korea,3700.0,0.0,0.0
Pakistan,5628.0,2640.0,3121.5
Philippines,11225.0,1403.0,1620.0
Russia,33722.5,0.0,1193.0
Senegal,155.0,0.0,0.0
Serbia,4046.0,350.0,650.0
South Africa,1052.3,1600.0,1650.0
Sri Lanka,900.0,0.0,0.0
Syria,60.0,0.0,0.0
Taiwan,7444.0,0.0,0.0
Tajikistan,400.0,0.0,0.0
Thailand,2754.0,0.0,600.0
Turkey,18718.16,1520.0,10708.0
Ukraine,13315.0,0.0,660.0
Uzbekistan,2493.0,0.0,600.0
Zambia,330.0,0.0,300.0
Zimbabwe,1000.0,940.0,5170.0
