year,China,India,Other,US,EU+UK,China,Other,Net change,year,China,India,Other,US,EU,China,Other,Net change
2000,17.53,1.705,15.404699999999997,-0.1406,-3.002,-0.386,-0.5316,30.579499999999996,2000,70,9,47,-1,-23,-3.0,-10.0,89
2001,13.423,1.055,7.162700000000001,-0.035,-0.923,-0.1,-0.58,20.0027,2001,61,6,17,-1,-7,-2.0,-3.0,71
2002,11.043,2.04,11.47,-0.7042999999999999,-1.784,-0.35,-1.396,20.3187,2002,54,7,26,-14,-15,-7.0,-10.0,41
2003,22.791,1.735,7.116,-1.5100799999999999,-2.731,-0.0,-0.15,27.250919999999997,2003,127,7,23,-10,-12,-0.0,-5.0,130
2004,29.995,0.4825,6.02325,-0.57,-0.63,-0.228,-0.522,34.55075,2004,141,3,24,-7,-7,-6.0,-5.0,143
2005,46.996,3.325,3.5859000000000014,-0.284,-1.24,-0.05,-2.743,49.5899,2005,196,15,15,-2,-10,-1.0,-12.0,201
2006,82.232,2.288,7.2028000000000025,-0.271,-1.409,-0.562,-0.065,89.4158,2006,262,17,27,-4,-9,-13.0,-1.0,279
2007,82.431,5.268,8.072,-2.8138,-0.9195,-9.956,-1.119,80.9627,2007,222,27,27,-13,-6,-125.0,-11.0,121
2008,63.5621,5.316,4.464599999999998,-0.8469,-1.326,-9.715,-0.12,61.334799999999994,2008,200,29,18,-11,-13,-100.0,-1.0,122
2009,61.3131,5.6105,10.9721,-1.5517999999999998,-0.735,-10.525,-0.182,64.9019,2009,159,28,36,-21,-7,-100.0,-3.0,92
2010,64.124,12.276,13.0405,-2.4520999999999997,-1.483,-9.847,-4.0499,71.6085,2010,172,47,37,-22,-14,-78.0,-26.0,116
2011,61.861,15.072,15.145300000000002,-3.3009,-3.942,-4.054,-1.199,79.5824,2011,156,60,50,-34,-23,-38.0,-4.0,167
2012,52.029,18.202,14.5565,-10.36269,-8.151,-3.86,-1.9974999999999983,60.416309999999996,2012,139,63,38,-69,-50,-31.0,-13.0,77
2013,51.747,18.408,11.8255,-6.8005,-9.2066,-3.298,-4.716499999999998,57.9589,2013,132,69,46,-45,-38,-28.0,-22.0,114
2014,38.957,20.799,13.13286,-4.613300000000001,-6.991899999999999,-8.7771,-2.6255,49.88106,2014,99,51,55,-36,-28,-78.0,-18.0,45
2015,65.817,20.75,20.496429999999993,-21.72255,-8.29,-6.04875,-1.4150000000000036,69.58712999999999,2015,139,47,69,-122,-43,-41.0,-13.0,36
2016,48.865,18.83,18.493,-15.9604,-10.6736,-5.405,-3.6329999999999982,50.516,2016,122,44,68,-87,-34,-55.0,-25.0,33
2017,39.596,8.988,19.826600000000006,-8.8708,-6.384,-7.15,-7.614700000000001,38.39110000000001,2017,108,25,56,-32,-26,-51.0,-68.0,12
2018,33.476,7.53,11.175,-15.891399999999999,-4.65,-10.709,-3.552,17.3786,2018,79,12,50,-42,-13,-88.0,-26.0,-28
2019,48.856,8.435,20.088600000000007,-16.1828,-8.7735,-7.727,-3.9360000000000035,40.7603,2019,107,16,66,-58,-30,-62.0,-34.0,5
2020,40.666,2.0,12.881,-11.6635,-12.9203,-13.638,-5.283000000000004,12.042199999999998,2020,86,4,37,-42,-49,-85.0,-31.0,-80
2021,26.187,6.695,12.672800000000002,-8.4511,-14.3066,-1.581,-7.8484,13.367700000000005,2021,54,12,39,-31,-37,-20.0,-40.0,-23
